,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,GC,EFreq,BPP,Dadj,SEadj,DiffMFE.EFE,Ar,Ur,Gr,Cr,AAr,GGr,CCr,UUr,AGr,ACr,AUr,GAr,GCr,GUr,CAr,CGr,CUr,UAr,UGr,UCr,Length,AU.GCr,Hl,Steml5,Steml3,BP,BP5,BP3,Mism5,Mism3,Bulge5,Bulge3,BulgeN1.5,BulgeN1.3,BulgeN2.5,BulgeN2.3,BulgeN3.5,BulgeN3.3,BulgeN4.5,BulgeN4.3,BulgeN5.5,BulgeN5.3,AUp,GCp,GUp,MFE,MFEadj,EFE,EFEadj,CFE,CDE,MEAFE,MEA,ED,MFEadj.GC,MFEadj.BP,dG,dGadj,dH,dHadj,dS,dSadj,dT,dTadj
ENSSSCT00000020094.2,0.111111111111111,0.0138888888888889,0,0.0277777777777778,0,0.0277777777777778,0.0416666666666667,0.0833333333333333,0,0,0,0.0555555555555556,0.0138888888888889,0.0138888888888889,0.0138888888888889,0.0833333333333333,0.0277777777777778,0.0416666666666667,0,0.0277777777777778,0.0277777777777778,0,0.0555555555555556,0.0694444444444444,0.0694444444444444,0.0138888888888889,0,0.0277777777777778,0.0277777777777778,0,0.0277777777777778,0.0972222222222222,0.389473684210526,0.1953,0.231578947368421,0.107684210526316,0.0206188322689438,0.0106315789473684,0.315789473684211,0.294736842105263,0.168421052631579,0.221052631578947,0.0631578947368421,0.0210526315789474,0.0315789473684211,0.0736842105263158,0.0526315789473684,0.0631578947368421,0.115789473684211,0.0421052631578947,0.0842105263157895,0.0210526315789474,0.115789473684211,0.0105263157894737,0.0526315789473684,0.0736842105263158,0.0736842105263158,0.0315789473684211,0.463917525773196,0.398669438669439,0.170731707317073,0.485294117647059,0.347826086956522,0.326086956521739,0.326086956521739,0.326086956521739,0.655172413793103,0.272727272727273,0.272727272727273,0.416666666666667,0.142857142857143,0.285714285714286,0.2,0.5,0,0.25,0,0,0,0,0.379310344827586,0.28125,0,0.796992481203007,0.697765308794374,0.80582953039894,0.737851741155799,0.719572368421053,0.284014643075046,0.708165997322624,0.429302558956347,0.298174872665535,0.574241059864063,0.770702188973758,0.786296900489396,0.703369178135572,0.782391649648287,0.767718465549813,0.781737922014224,0.778216984500285,0.618768328445748,0.303473371619103
ENSSSCT00000020602.2,0.0535714285714286,0.0267857142857143,0,0.0446428571428571,0.0178571428571429,0.0357142857142857,0.0178571428571429,0.116071428571429,0.0267857142857143,0.00892857142857143,0,0.0267857142857143,0.00892857142857143,0,0.0267857142857143,0.133928571428571,0.0178571428571429,0.00892857142857143,0,0.0267857142857143,0.0178571428571429,0.00892857142857143,0.0357142857142857,0.0892857142857143,0.00892857142857143,0.00892857142857143,0,0.0267857142857143,0.00892857142857143,0.00892857142857143,0.0446428571428571,0.142857142857143,0.425196850393701,0.0542,0.322834645669291,0.0678740157480315,0.0155752194306133,0.0141732283464567,0.307086614173228,0.267716535433071,0.236220472440945,0.188976377952756,0.062992125984252,0.062992125984252,0.0551181102362205,0.0708661417322835,0.102362204724409,0.0551181102362205,0.0708661417322835,0.078740157480315,0.031496062992126,0.062992125984252,0.078740157480315,0,0.047244094488189,0.0708661417322835,0.062992125984252,0.0393700787401575,0.793814432989691,0.324330484330484,0.024390243902439,0.808823529411765,0.608695652173913,0.739130434782609,0.739130434782609,0.739130434782609,0.758620689655172,0.242424242424242,0.545454545454545,0.5,0.285714285714286,0.571428571428571,0.4,0.5,0.2,0,0,0,0,0,0.689655172413793,0.46875,0.363636363636364,0.517293233082707,0.457879332247648,0.520388635359929,0.482488968305724,0.482456140350877,0.23489932885906,0.459170013386881,0.768088309081786,0.245118845500849,0.297885288300624,0.806770078369413,0.579119086460033,0.555596271508037,0.493533015656909,0.517615511647517,0.479686094988964,0.513296502256162,0.609970674486804,0.0997041573260283
ENSSSCT00000020403.3,0.0769230769230769,0.0256410256410256,0,0.0128205128205128,0.0384615384615385,0.0256410256410256,0.0256410256410256,0.128205128205128,0.0641025641025641,0.0256410256410256,0.0256410256410256,0,0.0128205128205128,0.0256410256410256,0.0512820512820513,0.0641025641025641,0.0256410256410256,0.0128205128205128,0.0256410256410256,0.0256410256410256,0.0128205128205128,0,0,0.0769230769230769,0.0384615384615385,0,0,0.0512820512820513,0,0,0.0128205128205128,0.115384615384615,0.405660377358491,0.0081,0.226415094339623,0.0870754716981132,0.0185252160868777,0.0280188679245283,0.320754716981132,0.273584905660377,0.235849056603774,0.169811320754717,0.0566037735849057,0.0660377358490566,0.0283018867924528,0.0660377358490566,0.0943396226415094,0.0188679245283019,0.132075471698113,0.0754716981132075,0.0849056603773585,0.00943396226415094,0.10377358490566,0,0.0283018867924528,0.0660377358490566,0.0754716981132075,0.0283018867924528,0.577319587628866,0.363363148479428,0.024390243902439,0.426470588235294,0.492753623188406,0.369565217391304,0.369565217391304,0.369565217391304,0.448275862068966,0.515151515151515,0.272727272727273,0.416666666666667,0.142857142857143,0.285714285714286,0,0,0,0,0.333333333333333,0.666666666666667,0,0,0.448275862068966,0.25,0.0909090909090909,0.703759398496241,0.603140631076424,0.685705873693508,0.599530302002242,0.660635964912281,0.253508236729713,0.670682730923695,0.52784746613146,0.258701188455008,0.462823601838387,0.726220081196381,0.686786296900489,0.599916297140589,0.5500340367597,0.42511320195004,0.527916291997057,0.395950710329674,0.436950146627566,0.15900963868923
ENSSSCT00000047330.1,0.0142857142857143,0.0428571428571429,0,0.0285714285714286,0.0285714285714286,0.0428571428571429,0.0428571428571429,0.114285714285714,0.0142857142857143,0,0,0.0142857142857143,0.0142857142857143,0,0.0714285714285714,0.1,0.0285714285714286,0.0142857142857143,0,0.0571428571428572,0.0142857142857143,0.0285714285714286,0.0285714285714286,0.0428571428571429,0.0142857142857143,0,0,0.0571428571428572,0,0,0.0142857142857143,0.171428571428571,0.368932038834951,0.0313,0.252427184466019,0.219417475728155,0.0189211505857772,0.0207766990291262,0.330097087378641,0.300970873786408,0.184466019417476,0.184466019417476,0.0388349514563107,0.029126213592233,0.00970873786407767,0.0776699029126214,0.0679611650485437,0.0970873786407767,0.106796116504854,0.0776699029126214,0.0485436893203883,0.029126213592233,0.106796116504854,0.00970873786407767,0.058252427184466,0.087378640776699,0.0679611650485437,0.029126213592233,0.54639175257732,0.447935222672065,0.0975609756097561,0.367647058823529,0.434782608695652,0.41304347826087,0.41304347826087,0.41304347826087,0.241379310344828,0.333333333333333,0.272727272727273,0.5,0.142857142857143,0.571428571428571,0.2,0,0,0.25,0.333333333333333,0.333333333333333,0,0,0.448275862068966,0.21875,0.363636363636364,0.768421052631579,0.684770323141574,0.761224790225232,0.700619022581114,0.764802631578947,0.661378889566809,0.692101740294511,0.306874059207225,0.65195246179966,0.523457205313603,0.808112672419232,0.796084828711256,0.753223605515007,0.659405491263898,0.596538724068511,0.637292569279817,0.567361163019023,0.30791788856305,0.133105246128912
ENSSSCT00000022180.2,0.112676056338028,0.0140845070422535,0,0.0422535211267606,0.0140845070422535,0.028169014084507,0.0422535211267606,0.112676056338028,0.028169014084507,0,0,0.028169014084507,0,0,0.0140845070422535,0.0985915492957746,0.0140845070422535,0.0140845070422535,0,0.0140845070422535,0,0.0140845070422535,0.0140845070422535,0.0704225352112676,0.0563380281690141,0,0,0.028169014084507,0.0140845070422535,0.0140845070422535,0.0422535211267606,0.169014084507042,0.329787234042553,0.0379,0.25531914893617,0.133297872340426,0.0203549422042197,0.0214893617021277,0.319148936170213,0.351063829787234,0.170212765957447,0.159574468085106,0.0638297872340425,0.0106382978723404,0.0212765957446809,0.074468085106383,0.0531914893617021,0.0531914893617021,0.127659574468085,0.074468085106383,0.0425531914893617,0.0425531914893617,0.0851063829787234,0,0.0531914893617021,0.074468085106383,0.0957446808510638,0.0425531914893617,0.45360824742268,0.558808933002481,0.0731707317073171,0.485294117647059,0.333333333333333,0.369565217391304,0.369565217391304,0.369565217391304,0.586206896551724,0.181818181818182,0.272727272727273,0.25,0.285714285714286,0.285714285714286,0,0,0,0,0,0.333333333333333,0,0,0.482758620689655,0.15625,0.272727272727273,0.796992481203007,0.693777314037714,0.790961283674371,0.708219085783589,0.752467105263158,0.354179377669311,0.726907630522088,0.365278474661315,0.390492359932088,0.467719851003372,0.792809902785931,0.773246329526917,0.676463420985458,0.668481960517359,0.528651766948377,0.651598136188997,0.502755886227342,0.392961876832845,0.225750950585742
ENSSSCT00000022125.2,0.08,0.0533333333333333,0,0,0.0266666666666667,0.0133333333333333,0.04,0.0933333333333334,0.0133333333333333,0.0133333333333333,0,0.0533333333333333,0,0,0.0266666666666667,0.106666666666667,0.0533333333333333,0,0,0.0266666666666667,0.04,0,0.04,0.08,0.0133333333333333,0.0266666666666667,0,0.0533333333333333,0.0266666666666667,0,0.0266666666666667,0.0933333333333334,0.392523364485981,0.0199,0.224299065420561,0.0858878504672897,0.0183293559558786,0.0225233644859813,0.327102803738318,0.280373831775701,0.177570093457944,0.214953271028037,0.0841121495327103,0.0186915887850467,0.0280373831775701,0.0747663551401869,0.0654205607476635,0.0654205607476635,0.0841121495327103,0.0467289719626168,0.0467289719626168,0.0467289719626168,0.11214953271028,0.00934579439252336,0.0467289719626168,0.0654205607476635,0.0560747663551402,0.0560747663551402,0.587628865979381,0.391794871794872,0.195121951219512,0.397058823529412,0.478260869565217,0.369565217391304,0.369565217391304,0.369565217391304,0.379310344827586,0.484848484848485,0.363636363636364,0.333333333333333,0.142857142857143,0,0.4,0.25,0,0.25,0,0.333333333333333,0,0,0.344827586206897,0.28125,0.272727272727273,0.753383458646616,0.677934758782855,0.742529074046813,0.689473428117242,0.716831140350877,0.2522879804759,0.689424364123159,0.547114902157551,0.270585738539898,0.549629436439112,0.78117054338446,0.732463295269168,0.673176516640462,0.623099614250057,0.565477395154382,0.605411591596501,0.546539065584003,0.434017595307918,0.151910255324569
ENSSSCT00000020035.2,0.046875,0.078125,0,0.015625,0.0625,0.015625,0.0625,0.046875,0.015625,0.015625,0,0.046875,0.046875,0.015625,0.0625,0.0625,0.015625,0.015625,0,0.0625,0,0.015625,0.046875,0.0625,0.0625,0,0,0.0625,0,0,0.015625,0.046875,0.414634146341463,0.0662,0.231707317073171,0.0821951219512195,0.0233398152611794,0.0203658536585366,0.402439024390244,0.182926829268293,0.231707317073171,0.182926829268293,0.121951219512195,0.0365853658536585,0.0365853658536585,0.0487804878048781,0.0731707317073171,0.0487804878048781,0.0853658536585366,0.0975609756097561,0.0609756097560976,0.0365853658536585,0.0731707317073171,0.0487804878048781,0.0121951219512195,0.0365853658536585,0.0731707317073171,0.024390243902439,0.329896907216495,0.344977375565611,0.0487804878048781,0.367647058823529,0.347826086956522,0.260869565217391,0.260869565217391,0.260869565217391,0.482758620689655,0.363636363636364,0.454545454545455,0.416666666666667,0.142857142857143,0.285714285714286,0.2,0,0.4,0.5,0,0.333333333333333,0.5,0,0.275862068965517,0.28125,0,0.783458646616541,0.61327855496039,0.782864713675843,0.627962051184035,0.707236842105263,0.177547284929835,0.696117804551539,0.346111389864526,0.183998302207131,0.491126802158563,0.644856280647074,0.789559543230016,0.638909260568233,0.694122986158384,0.446469528474579,0.678737840268127,0.413543122677013,0.390029325513196,0.329996923284545
ENSSSCT00000059781.1,0,0,0,0.0638297872340425,0,0,0.0212765957446809,0.148936170212766,0,0.0212765957446809,0,0.0212765957446809,0,0,0.0425531914893617,0.127659574468085,0,0.0212765957446809,0,0,0.0425531914893617,0.0212765957446809,0,0.106382978723404,0.0212765957446809,0,0,0.0425531914893617,0,0.0212765957446809,0.0638297872340425,0.212765957446809,0.387096774193548,0.1526,0.32258064516129,0.103387096774194,0.0315492125191291,0.0187096774193548,0.274193548387097,0.338709677419355,0.17741935483871,0.209677419354839,0.0645161290322581,0.032258064516129,0.032258064516129,0.0967741935483871,0.0806451612903226,0.0645161290322581,0.0161290322580645,0.032258064516129,0.032258064516129,0.0806451612903226,0.0645161290322581,0,0.0806451612903226,0.0645161290322581,0.0645161290322581,0.0645161290322581,0.123711340206186,0.404102564102564,0.0487804878048781,0.191176470588235,0.27536231884058,0.282608695652174,0.282608695652174,0.282608695652174,0.0344827586206897,0.181818181818182,0.0909090909090909,0.25,0.142857142857143,0.142857142857143,0,0.25,0,0.25,0,0,0,0,0.379310344827586,0.09375,0.363636363636364,0.869172932330827,0.674975353646514,0.874282349477403,0.69539148245813,0.800438596491228,0.167480170835876,0.78714859437751,0.153437029603613,0.191638370118845,0.537197626654496,0.720564757230992,0.849918433931485,0.629385633555952,0.830723848422964,0.52777485382915,0.827597482220224,0.510765285850882,0.480938416422288,0.648871880651957
ENSSSCT00000020946.2,0.0375,75,0,0.0625,0.0375,0.0125,0,0.0625,0,0,25,75,0.0375,25,0.0375,0.05,25,25,0.0125,25,0.0125,0,0.0625,0.0625,0,25,0.0125,0,0.0375,25,0.0625,75,0.41747572815534,0.0492,0.242718446601942,0.176019417475728,0.0192115780635594,0.0180582524271845,0.29126213592233,0.29126213592233,0.223300970873786,0.194174757281553,0.0679611650485437,0.0388349514563107,0.029126213592233,0.058252427184466,0.0485436893203883,0.0388349514563107,0.106796116504854,0.058252427184466,0.087378640776699,0.0388349514563107,0.0970873786407767,0.00970873786407767,0.0485436893203883,0.0388349514563107,0.116504854368932,0.029126213592233,0.54639175257732,0.339320214669052,0.121951219512195,0.455882352941176,0.492753623188406,0.391304347826087,0.391304347826087,0.391304347826087,0.482758620689655,0.484848484848485,0.636363636363636,0.666666666666667,0.285714285714286,0.428571428571429,0.6,0.5,0.4,0.75,0,0,0,0,0.344827586206897,0.34375,0.181818181818182,0.685714285714286,0.562869425411086,0.684380980421022,0.58147528417248,0.667489035087719,0.525015253203173,0.609103078982597,0.39177119919719,0.50509337860781,0.426395508050906,0.711614078706541,0.693311582381729,0.594003355853365,0.695257544815067,0.662976328651289,0.695577536172648,0.676599138222918,0.721407624633431,0.277194211966841
ENSSSCT00000048971.1,0.12,0.0533333333333334,0,0.0133333333333333,0.0133333333333333,0.0666666666666667,0.0266666666666667,0.0666666666666667,0.0133333333333333,0,0,0.0666666666666667,0.0266666666666667,0,0.0666666666666667,0.0533333333333334,0.0266666666666667,0,0,0.04,0.0133333333333333,0,0.0666666666666667,0.0666666666666667,0.0266666666666667,0.0266666666666667,0.0133333333333333,0.04,0.0266666666666667,0,0,0.0666666666666667,0.392523364485981,0.0304,0.205607476635514,0.130280373831776,0.018368924234755,0.0200934579439252,0.317757009345794,0.289719626168224,0.196261682242991,0.196261682242991,0.0654205607476635,0.0373831775700935,0.0280373831775701,0.0747663551401869,0.0560747663551402,0.0654205607476635,0.11214953271028,0.0654205607476635,0.0373831775700935,0.0467289719626168,0.11214953271028,0.00934579439252336,0.0373831775700935,0.0560747663551402,0.0747663551401869,0.0560747663551402,0.587628865979381,0.391794871794872,0.219512195121951,0.411764705882353,0.463768115942029,0.326086956521739,0.326086956521739,0.326086956521739,0.482758620689655,0.515151515151515,0.454545454545455,0.5,0.428571428571429,0.285714285714286,0.2,0.5,0,0.25,0,0,0,0,0.275862068965517,0.34375,0.0909090909090909,0.738345864661654,0.656599512451096,0.731635507139703,0.673214725532815,0.741502192982456,0.397193410616229,0.655957161981258,0.488810837932765,0.393463497453311,0.51854991197757,0.737708647833511,0.685154975530179,0.60262453833764,0.591331971862945,0.508809333041306,0.57614648900515,0.4937406870378,0.510263929618769,0.177486595916733
