	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	GC	BPP	Dadj	SEadj	DiffMFE.EFE	Length	AU.GCr	Ar	Ur	Gr	Cr	AAr	GGr	CCr	UUr	AGr	ACr	AUr	GAr	GCr	GUr	CAr	CGr	CUr	UAr	UGr	UCr	Hl	Steml5	Steml3	BP	BP5	BP3	Mism5	Mism3	Bulge5	Bulge3	BulgeN1.5	BulgeN1.3	BulgeN2.5	BulgeN2.3	BulgeN3.5	BulgeN3.3	BulgeN4.5	BulgeN4.3	BulgeN5.5	BulgeN5.3	BulgeN6.5	BulgeN6.3	BulgeN7.5	BulgeN7.3	AUp	GCp	GUp	MFE	MFEadj	EFE	EFEadj	CFE	CDE	MEAFE	MEA	ED	MFEadj.GC	MFEadj.BP	MEAFEadj	EDadj
ENSSSCT00000046222.1	0	0.015625	0	0	0	0.03125	0	0.109375	0	0.015625	0.015625	0	0.03125	0.03125	0.125	0.15625	0	0	0.015625	0.109375	0	0.015625	0	0.15625	0	0.015625	0	0.03125	0.015625	0.015625	0.015625	0.078125	0.63855421686747	0.313253012048193	0.103373493975904	0.0231233883417551	0.0142168674698795	83	0.566037735849057	0.204819277108434	0.156626506024096	0.385542168674699	0.253012048192771	0.0240963855421687	0.0963855421686747	0.072289156626506	0.0240963855421687	0.144578313253012	0.0240963855421687	0	0.108433734939759	0.0602409638554217	0.0602409638554217	0.0602409638554217	0.0120481927710843	0.072289156626506	0	0.0602409638554217	0.0602409638554217	15	33	31	26	26	26	7	5	5	4	2	2	2	1	0	0	0	0	0	0	0	0	0	0	7	18	1	-37.6	-0.453012048192771	-38.78	-0.467228915662651	-37.6	8.58	-37.6	71.35	12.08	-0.709433962264151	-0.0174235403151066	-0.453012048192771	0.145542168674699
ENSSSCT00000038580.1	0.0731707317073171	0.0121951219512195	0.0121951219512195	0.024390243902439	0.0121951219512195	0.0121951219512195	0.0365853658536585	0.0731707317073171	0.0853658536585366	0.024390243902439	0	0.0365853658536585	0.024390243902439	0.0365853658536585	0.024390243902439	0.0975609756097561	0.024390243902439	0.0121951219512195	0	0.0121951219512195	0.0121951219512195	0.0121951219512195	0.0365853658536585	0.0731707317073171	0.0121951219512195	0.0121951219512195	0.0121951219512195	0.0609756097560975	0.0121951219512195	0.0121951219512195	0.0365853658536585	0.0731707317073171	0.521739130434783	0.271739130434783	0.221304347826087	0.0210647811418351	0.0294565217391304	92	0.916666666666667	0.271739130434783	0.206521739130435	0.358695652173913	0.16304347826087	0.0543478260869565	0.108695652173913	0.0434782608695652	0.0434782608695652	0.108695652173913	0.0326086956521739	0.0326086956521739	0.119565217391304	0.0108695652173913	0.0760869565217391	0.0543478260869565	0.0217391304347826	0.0326086956521739	0.0108695652173913	0.0652173913043478	0.0652173913043478	8	42	40	25	25	25	17	15	5	6	2	3	1	0	0	0	1	1	0	0	0	0	0	1	12	10	3	-23.1	-0.251086956521739	-25.81	-0.28054347826087	-14.8	20.36	-18.6	58.09	30.48	-0.48125	-0.0100434782608696	-0.202173913043478	0.331304347826087
ENSSSCT00000021115.2	0.0166666666666667	0.0166666666666667	0	0.0333333333333333	0.0166666666666667	0.0166666666666667	0.0333333333333333	0.116666666666667	0	0	0	0.0166666666666667	0	0	0.05	0.133333333333333	0.05	0.0166666666666667	0	0.05	0	0.0166666666666667	0.0166666666666667	0.116666666666667	0.0166666666666667	0.0166666666666667	0	0.0333333333333333	0.0333333333333333	0.0166666666666667	0.0333333333333333	0.133333333333333	0.45	0.2875	0.013875	0.0248994307299063	0.00987499999999999	80	1.22222222222222	0.2875	0.2625	0.225	0.225	0.0625	0.0375	0.025	0.025	0.0875	0.075	0.025	0.075	0.05	0.05	0.05	0	0.15	0.0625	0.075	0.075	14	31	29	23	23	23	8	6	3	3	1	2	0	0	1	0	1	1	0	0	0	0	0	0	11	11	1	-28.5	-0.35625	-29.29	-0.366125	-28.5	1.11	-28.5	77.81	1.79	-0.791666666666667	-0.0154891304347826	-0.35625	0.022375
ENSSSCT00000020733.2	0.0123456790123457	0.0123456790123457	0	0.0246913580246914	0.0246913580246914	0.0246913580246914	0.037037037037037	0.160493827160494	0	0.0246913580246914	0.0246913580246914	0.0123456790123457	0.0123456790123457	0.0246913580246914	0.0246913580246914	0.123456790123457	0	0	0.0246913580246914	0.0246913580246914	0	0.0246913580246914	0.0123456790123457	0.0987654320987654	0	0.0123456790123457	0	0.037037037037037	0.0123456790123457	0	0.0246913580246914	0.185185185185185	0.448275862068966	0.379310344827586	0.0379310344827586	0.0227712814659597	0.0133333333333334	87	1.23076923076923	0.28735632183908	0.264367816091954	0.264367816091954	0.183908045977011	0.0344827586206897	0.0344827586206897	0.0229885057471264	0.0229885057471264	0.103448275862069	0.0919540229885057	0.0344827586206897	0.0574712643678161	0.0344827586206897	0.114942528735632	0.0804597701149425	0	0.0689655172413793	0.0919540229885057	0.103448275862069	0.0229885057471264	4	41	40	33	33	33	8	7	4	5	3	3	0	1	1	0	0	0	0	0	0	0	0	0	18	13	2	-44.3	-0.509195402298851	-45.46	-0.522528735632184	-43.9	3.3	-43.9	80.9	5.27	-1.13589743589744	-0.0154301637060258	-0.504597701149425	0.0605747126436782
ENSSSCT00000062813.1	0	0	0	0	0	0.0535714285714286	0.0178571428571429	0.0357142857142857	0	0	0.0178571428571429	0.0892857142857143	0	0.0357142857142857	0.0178571428571429	0.25	0	0	0.0178571428571429	0.0535714285714286	0	0.0178571428571429	0.0714285714285714	0.214285714285714	0	0	0	0	0	0.0357142857142857	0.0357142857142857	0.0357142857142857	0.759493670886076	0.30379746835443	0.0429113924050633	0.0227188813753315	0.0177215189873418	79	0.316666666666667	0.126582278481013	0.113924050632911	0.367088607594937	0.392405063291139	0.0126582278481013	0.0886075949367089	0.126582278481013	0	0.0759493670886076	0.0253164556962025	0.0126582278481013	0.0506329113924051	0.177215189873418	0.0379746835443038	0.0506329113924051	0.139240506329114	0.0632911392405063	0.0126582278481013	0.0506329113924051	0.0506329113924051	4	28	28	24	24	24	4	4	3	4	3	4	0	0	0	0	0	0	0	0	0	0	0	0	3	20	1	-40.6	-0.513924050632911	-42	-0.531645569620253	-40.6	3.39	-40.6	72.8	5.19	-0.676666666666667	-0.0214135021097046	-0.513924050632911	0.0656962025316456
ENSSSCT00000020324.2	0	0.0410958904109589	0	0	0.0410958904109589	0.0410958904109589	0	0.0136986301369863	0	0.0136986301369863	0.0410958904109589	0.0958904109589041	0	0.0410958904109589	0.0547945205479452	0.164383561643836	0	0.0136986301369863	0.0410958904109589	0.0410958904109589	0.0273972602739726	0.0410958904109589	0.0684931506849315	0.178082191780822	0	0	0	0	0	0	0.0136986301369863	0.0273972602739726	0.761363636363636	0.306818181818182	0.190795454545455	0.0202974847294074	0.0239772727272727	88	0.313432835820896	0.136363636363636	0.102272727272727	0.409090909090909	0.352272727272727	0.0227272727272727	0.136363636363636	0.136363636363636	0.0227272727272727	0.0909090909090909	0.0113636363636364	0.0113636363636364	0.0568181818181818	0.113636363636364	0.0454545454545455	0.0454545454545455	0.0568181818181818	0.0227272727272727	0.0113636363636364	0.0568181818181818	0.0113636363636364	9	35	38	27	27	27	8	11	6	8	2	3	2	3	0	0	0	0	0	0	0	0	0	0	1	24	2	-44.3	-0.503409090909091	-46.41	-0.527386363636364	-39.2	16.79	-44.3	64.63	25.44	-0.661194029850746	-0.0186447811447811	-0.503409090909091	0.289090909090909
ENSSSCT00000020656.2	0	0	0	0.0441176470588235	0	0.0147058823529412	0.0147058823529412	0.205882352941177	0	0	0	0.0147058823529412	0	0	0.0147058823529412	0.176470588235294	0	0	0	0.0147058823529412	0	0.0441176470588235	0.0147058823529412	0.117647058823529	0	0	0	0.0147058823529412	0	0	0.0441176470588235	0.264705882352941	0.407407407407407	0.395061728395062	0.0491358024691358	0.0242914081444506	0.0116049382716049	81	1.45454545454545	0.283950617283951	0.308641975308642	0.234567901234568	0.172839506172839	0.0740740740740741	0.0246913580246914	0.0123456790123457	0.0864197530864197	0.037037037037037	0.0617283950617284	0.0864197530864197	0.0493827160493827	0.0493827160493827	0.0740740740740741	0.0740740740740741	0.037037037037037	0.037037037037037	0.0493827160493827	0.111111111111111	0.037037037037037	11	34	34	32	32	32	2	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	18	10	4	-40.1	-0.495061728395062	-41.04	-0.506666666666667	-40.1	3.98	-40.1	74.72	6.01	-1.21515151515152	-0.0154706790123457	-0.495061728395062	0.0741975308641975
ENSSSCT00000055613.1	0	0.0185185185185185	0	0.0185185185185185	0	0	0.0185185185185185	0.111111111111111	0	0	0	0.0555555555555556	0	0	0.037037037037037	0.166666666666667	0.0185185185185185	0	0	0.037037037037037	0	0.037037037037037	0.0555555555555556	0.12962962962963	0	0.037037037037037	0	0.037037037037037	0.0555555555555556	0.0185185185185185	0.037037037037037	0.111111111111111	0.533333333333333	0.366666666666667	0.0645	0.0328154179893544	0.0161666666666667	60	0.875	0.166666666666667	0.3	0.266666666666667	0.266666666666667	0.05	0.0666666666666667	0.0666666666666667	0.0833333333333333	0.0666666666666667	0.0333333333333333	0	0.05	0.05	0.0666666666666667	0.05	0.0166666666666667	0.133333333333333	0	0.0833333333333333	0.116666666666667	4	26	28	22	22	22	4	6	3	3	2	1	1	1	0	1	0	0	0	0	0	0	0	0	8	12	2	-25.9	-0.431666666666667	-26.87	-0.447833333333333	-25.2	3.87	-25.9	53.63	5.94	-0.809375	-0.0196212121212121	-0.431666666666667	0.099
ENSSSCT00000020574.3	0	0.0161290322580645	0	0.0161290322580645	0.0161290322580645	0.0161290322580645	0	0.0483870967741936	0	0	0.032258064516129	0.0483870967741936	0.032258064516129	0	0.0806451612903226	0.129032258064516	0.0161290322580645	0.032258064516129	0.0483870967741936	0.0645161290322581	0.0161290322580645	0.0161290322580645	0.0483870967741936	0.112903225806452	0	0.032258064516129	0	0.0161290322580645	0.0161290322580645	0.0806451612903226	0.0161290322580645	0.0483870967741936	0.691176470588235	0.323529411764706	0.163088235294118	0.0273665487222731	0.0247058823529412	68	0.446808510638298	0.102941176470588	0.205882352941176	0.308823529411765	0.382352941176471	0.0147058823529412	0.0735294117647059	0.132352941176471	0.0294117647058824	0.0735294117647059	0	0	0.0441176470588235	0.0735294117647059	0.0735294117647059	0.0294117647058824	0.0441176470588235	0.102941176470588	0	0.0882352941176471	0.0882352941176471	6	30	32	22	22	22	8	10	6	6	3	2	2	2	0	1	0	0	0	0	0	0	0	0	4	17	1	-25.4	-0.373529411764706	-27.08	-0.398235294117647	-25.3	11.09	-25.3	52.68	16.49	-0.540425531914894	-0.0169786096256684	-0.372058823529412	0.2425
ENSSSCT00000037335.1	0	0.0140845070422535	0	0.0140845070422535	0.028169014084507	0.028169014084507	0.028169014084507	0.112676056338028	0.0140845070422535	0.0140845070422535	0	0.0422535211267606	0.0140845070422535	0	0.0563380281690141	0.169014084507042	0	0.0140845070422535	0	0.028169014084507	0	0.028169014084507	0.0140845070422535	0.154929577464789	0	0	0	0.0422535211267606	0	0	0.028169014084507	0.154929577464789	0.5125	0.375	0.033	0.024966710089432	0.00925000000000003	80	0.951219512195122	0.2375	0.25	0.275	0.2375	0.0625	0.0625	0.0375	0.0625	0.0625	0.025	0.0625	0.05	0.1	0.0375	0.0625	0.05	0.05	0.0375	0.075	0.05	6	37	34	30	30	30	7	4	4	3	2	2	1	1	1	0	0	0	0	0	0	0	0	0	11	14	5	-39.8	-0.4975	-40.54	-0.50675	-39.8	2.64	-39.8	75.58	4.18	-0.970731707317073	-0.0165833333333333	-0.4975	0.05225
