	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	GC	BPP	Dadj	SEadj	DiffMFE.EFE	Length	AU.GCr	Ar	Ur	Gr	Cr	AAr	GGr	CCr	UUr	AGr	ACr	AUr	GAr	GCr	GUr	CAr	CGr	CUr	UAr	UGr	UCr	Hl	Steml5	Steml3	BP	BP5	BP3	Mism5	Mism3	Bulge5	Bulge3	BulgeN1.5	BulgeN1.3	BulgeN2.5	BulgeN2.3	BulgeN3.5	BulgeN3.3	BulgeN4.5	BulgeN4.3	BulgeN5.5	BulgeN5.3	BulgeN6.5	BulgeN6.3	BulgeN7.5	BulgeN7.3	AUp	GCp	GUp	MFE	MFEadj	EFE	EFEadj	CFE	CDE	MEAFE	MEA	ED	MFEadj.GC	MFEadj.BP	MEAFEadj	EDadj
ENSSSCT00000020094.2	0.111111111111111	0.0138888888888889	0	0.0277777777777778	0	0.0277777777777778	0.0416666666666667	0.0833333333333333	0	0	0	0.0555555555555556	0.0138888888888889	0.0138888888888889	0.0138888888888889	0.0833333333333333	0.0277777777777778	0.0416666666666667	0	0.0277777777777778	0.0277777777777778	0	0.0555555555555556	0.0694444444444444	0.0694444444444444	0.0138888888888889	0	0.0277777777777778	0.0277777777777778	0	0.0277777777777778	0.0972222222222222	0.389473684210526	0.231578947368421	0.107684210526316	0.0206188322689438	0.0106315789473684	95	1.56756756756757	0.315789473684211	0.294736842105263	0.168421052631579	0.221052631578947	0.0631578947368421	0.0210526315789474	0.0315789473684211	0.0736842105263158	0.0526315789473684	0.0631578947368421	0.115789473684211	0.0421052631578947	0.0842105263157895	0.0210526315789474	0.115789473684211	0.0105263157894737	0.0526315789473684	0.0736842105263158	0.0736842105263158	0.0315789473684211	10	41	31	22	22	22	19	9	3	5	1	2	1	2	0	1	0	0	0	0	0	0	0	0	11	11	0	-15.6	-0.164210526315789	-16.61	-0.174842105263158	-15.6	10.23	-15.6	79.14	15.63	-0.421621621621622	-0.00746411483253588	-0.164210526315789	0.164526315789474
ENSSSCT00000020602.2	0.0535714285714286	0.0267857142857143	0	0.0446428571428571	0.0178571428571429	0.0357142857142857	0.0178571428571429	0.116071428571429	0.0267857142857143	0.00892857142857143	0	0.0267857142857143	0.00892857142857143	0	0.0267857142857143	0.133928571428571	0.0178571428571429	0.00892857142857143	0	0.0267857142857143	0.0178571428571429	0.00892857142857143	0.0357142857142857	0.0892857142857143	0.00892857142857143	0.00892857142857143	0	0.0267857142857143	0.00892857142857143	0.00892857142857143	0.0446428571428571	0.142857142857143	0.425196850393701	0.322834645669291	0.0678740157480315	0.0155752194306133	0.0141732283464567	127	1.35185185185185	0.307086614173228	0.267716535433071	0.236220472440945	0.188976377952756	0.062992125984252	0.062992125984252	0.0551181102362205	0.0708661417322835	0.102362204724409	0.0551181102362205	0.0708661417322835	0.078740157480315	0.031496062992126	0.062992125984252	0.078740157480315	0	0.047244094488189	0.0708661417322835	0.062992125984252	0.0393700787401575	4	63	49	41	41	41	22	8	6	6	2	4	2	2	1	0	0	0	0	0	0	0	0	0	20	17	4	-34.2	-0.269291338582677	-36	-0.283464566929134	-32.9	8.62	-34.2	112.9	13.13	-0.633333333333333	-0.00656808142884579	-0.269291338582677	0.103385826771654
ENSSSCT00000020403.3	0.0769230769230769	0.0256410256410256	0	0.0128205128205128	0.0384615384615385	0.0256410256410256	0.0256410256410256	0.128205128205128	0.0641025641025641	0.0256410256410256	0.0256410256410256	0	0.0128205128205128	0.0256410256410256	0.0512820512820513	0.0641025641025641	0.0256410256410256	0.0128205128205128	0.0256410256410256	0.0256410256410256	0.0128205128205128	0	0	0.0769230769230769	0.0384615384615385	0	0	0.0512820512820513	0	0	0.0128205128205128	0.115384615384615	0.405660377358491	0.226415094339623	0.0870754716981132	0.0185252160868777	0.0280188679245283	106	1.46511627906977	0.320754716981132	0.273584905660377	0.235849056603774	0.169811320754717	0.0566037735849057	0.0660377358490566	0.0283018867924528	0.0660377358490566	0.0943396226415094	0.0188679245283019	0.132075471698113	0.0754716981132075	0.0849056603773585	0.00943396226415094	0.10377358490566	0	0.0283018867924528	0.0660377358490566	0.0754716981132075	0.0283018867924528	4	37	41	24	24	24	13	17	3	5	1	2	0	0	0	0	1	2	0	0	0	0	0	1	13	10	1	-21.8	-0.205660377358491	-24.77	-0.233679245283019	-19.9	9.23	-18.4	88.96	13.77	-0.506976744186047	-0.00856918238993711	-0.173584905660377	0.129905660377358
ENSSSCT00000047330.1	0.0142857142857143	0.0428571428571429	0	0.0285714285714286	0.0285714285714286	0.0428571428571429	0.0428571428571429	0.114285714285714	0.0142857142857143	0	0	0.0142857142857143	0.0142857142857143	0	0.0714285714285714	0.1	0.0285714285714286	0.0142857142857143	0	0.0571428571428572	0.0142857142857143	0.0285714285714286	0.0285714285714286	0.0428571428571429	0.0142857142857143	0	0	0.0571428571428572	0	0	0.0142857142857143	0.171428571428571	0.368932038834951	0.252427184466019	0.219417475728155	0.0189211505857772	0.0207766990291262	103	1.71052631578947	0.330097087378641	0.300970873786408	0.184466019417476	0.184466019417476	0.0388349514563107	0.029126213592233	0.00970873786407767	0.0776699029126214	0.0679611650485437	0.0970873786407767	0.106796116504854	0.0776699029126214	0.0485436893203883	0.029126213592233	0.106796116504854	0.00970873786407767	0.058252427184466	0.087378640776699	0.0679611650485437	0.029126213592233	7	33	37	26	26	26	7	11	3	6	1	4	1	0	0	1	1	1	0	0	0	0	0	0	13	9	4	-17.5	-0.169902912621359	-19.64	-0.190679611650485	-12.3	22.6	-16.8	66.94	32.3	-0.460526315789474	-0.00653472740851382	-0.163106796116505	0.313592233009709
ENSSSCT00000022180.2	0.112676056338028	0.0140845070422535	0	0.0422535211267606	0.0140845070422535	0.028169014084507	0.0422535211267606	0.112676056338028	0.028169014084507	0	0	0.028169014084507	0	0	0.0140845070422535	0.0985915492957746	0.0140845070422535	0.0140845070422535	0	0.0140845070422535	0	0.0140845070422535	0.0140845070422535	0.0704225352112676	0.0563380281690141	0	0	0.028169014084507	0.0140845070422535	0.0140845070422535	0.0422535211267606	0.169014084507042	0.329787234042553	0.25531914893617	0.133297872340426	0.0203549422042197	0.0214893617021277	94	2.03225806451613	0.319148936170213	0.351063829787234	0.170212765957447	0.159574468085106	0.0638297872340425	0.0106382978723404	0.0212765957446809	0.074468085106383	0.0531914893617021	0.0531914893617021	0.127659574468085	0.074468085106383	0.0425531914893617	0.0425531914893617	0.0851063829787234	0	0.0531914893617021	0.074468085106383	0.0957446808510638	0.0425531914893617	6	41	30	24	24	24	17	6	3	3	2	2	0	0	0	0	0	1	0	0	0	0	0	0	14	7	3	-15.6	-0.165957446808511	-17.62	-0.187446808510638	-13.2	12.53	-14.2	72.76	19.98	-0.503225806451613	-0.00691489361702128	-0.151063829787234	0.212553191489362
ENSSSCT00000022125.2	0.08	0.0533333333333333	0	0	0.0266666666666667	0.0133333333333333	0.04	0.0933333333333334	0.0133333333333333	0.0133333333333333	0	0.0533333333333333	0	0	0.0266666666666667	0.106666666666667	0.0533333333333333	0	0	0.0266666666666667	0.04	0	0.04	0.08	0.0133333333333333	0.0266666666666667	0	0.0533333333333333	0.0266666666666667	0	0.0266666666666667	0.0933333333333334	0.392523364485981	0.224299065420561	0.0858878504672897	0.0183293559558786	0.0225233644859813	107	1.54761904761905	0.327102803738318	0.280373831775701	0.177570093457944	0.214953271028037	0.0841121495327103	0.0186915887850467	0.0280373831775701	0.0747663551401869	0.0654205607476635	0.0654205607476635	0.0841121495327103	0.0467289719626168	0.0467289719626168	0.0467289719626168	0.11214953271028	0.00934579439252336	0.0467289719626168	0.0654205607476635	0.0560747663551402	0.0560747663551402	11	35	40	24	24	24	11	16	4	4	1	0	2	1	0	1	0	1	0	0	1	0	0	1	10	11	3	-18.5	-0.172897196261682	-20.91	-0.195420560747664	-15.8	9.19	-17	90.88	14.33	-0.44047619047619	-0.00720404984423676	-0.158878504672897	0.13392523364486
ENSSSCT00000059781.1	0	0	0	0.0638297872340425	0	0	0.0212765957446809	0.148936170212766	0	0.0212765957446809	0	0.0212765957446809	0	0	0.0425531914893617	0.127659574468085	0	0.0212765957446809	0	0	0.0425531914893617	0.0212765957446809	0	0.106382978723404	0.0212765957446809	0	0	0.0425531914893617	0	0.0212765957446809	0.0638297872340425	0.212765957446809	0.387096774193548	0.32258064516129	0.103387096774194	0.0315492125191291	0.0187096774193548	62	1.58333333333333	0.274193548387097	0.338709677419355	0.17741935483871	0.209677419354839	0.0645161290322581	0.032258064516129	0.032258064516129	0.0967741935483871	0.0806451612903226	0.0645161290322581	0.0161290322580645	0.032258064516129	0.032258064516129	0.0806451612903226	0.0645161290322581	0	0.0806451612903226	0.0645161290322581	0.0645161290322581	0.0645161290322581	5	21	26	20	20	20	1	6	1	3	1	1	0	1	0	1	0	0	0	0	0	0	0	0	11	5	4	-10.8	-0.174193548387097	-11.96	-0.192903225806452	-9.7	6.41	-9.7	51.65	10.61	-0.45	-0.00870967741935484	-0.156451612903226	0.171129032258065
ENSSSCT00000048971.1	0.12	0.0533333333333334	0	0.0133333333333333	0.0133333333333333	0.0666666666666667	0.0266666666666667	0.0666666666666667	0.0133333333333333	0	0	0.0666666666666667	0.0266666666666667	0	0.0666666666666667	0.0533333333333334	0.0266666666666667	0	0	0.04	0.0133333333333333	0	0.0666666666666667	0.0666666666666667	0.0266666666666667	0.0266666666666667	0.0133333333333333	0.04	0.0266666666666667	0	0	0.0666666666666667	0.392523364485981	0.205607476635514	0.130280373831776	0.018368924234755	0.0200934579439252	107	1.54761904761905	0.317757009345794	0.289719626168224	0.196261682242991	0.196261682242991	0.0654205607476635	0.0373831775700935	0.0280373831775701	0.0747663551401869	0.0560747663551402	0.0654205607476635	0.11214953271028	0.0654205607476635	0.0373831775700935	0.0467289719626168	0.11214953271028	0.00934579439252336	0.0373831775700935	0.0560747663551402	0.0747663551401869	0.0560747663551402	12	36	39	22	22	22	14	17	5	6	3	2	1	2	0	1	0	0	0	0	0	0	0	0	8	13	1	-19.5	-0.182242990654206	-21.65	-0.202336448598131	-14	13.94	-19.5	85.07	20.12	-0.464285714285714	-0.00828377230246389	-0.182242990654206	0.18803738317757
ENSSSCT00000020121.2	0.0181818181818182	0	0	0.0727272727272727	0.0363636363636364	0.0181818181818182	0.0545454545454545	0.109090909090909	0	0.0181818181818182	0	0.0181818181818182	0	0.0363636363636364	0.0363636363636364	0.0909090909090909	0.0363636363636364	0.0181818181818182	0	0.0181818181818182	0.0181818181818182	0	0.0181818181818182	0.0727272727272727	0	0.0181818181818182	0	0.0545454545454545	0	0.0181818181818182	0.0545454545454545	0.163636363636364	0.351063829787234	0.223404255319149	0.0604255319148936	0.0204541653273955	0.0140425531914894	94	1.84848484848485	0.372340425531915	0.276595744680851	0.159574468085106	0.191489361702128	0.0957446808510638	0.0319148936170213	0.0319148936170213	0.074468085106383	0.0425531914893617	0.074468085106383	0.117021276595745	0.0638297872340425	0.0425531914893617	0.0212765957446809	0.0957446808510638	0.0106382978723404	0.0425531914893617	0.074468085106383	0.074468085106383	0.0212765957446809	13	28	27	21	21	21	7	6	3	4	1	3	1	0	0	1	1	0	0	0	0	0	0	0	13	6	2	-12.2	-0.129787234042553	-13.52	-0.143829787234043	-11.5	5.68	-12.2	84.15	8.84	-0.36969696969697	-0.00618034447821682	-0.129787234042553	0.0940425531914894
ENSSSCT00000022045.2	0.16	0.04	0	0.0266666666666667	0.0266666666666667	0	0.04	0.08	0.0133333333333333	0.0133333333333333	0	0	0.0266666666666667	0	0.0133333333333333	0.106666666666667	0.0933333333333334	0.0133333333333333	0	0.0133333333333333	0.0133333333333333	0	0.0133333333333333	0.0933333333333334	0.0666666666666667	0	0	0.0533333333333333	0	0	0.0266666666666667	0.0666666666666667	0.403846153846154	0.192307692307692	0.121730769230769	0.0185918866601434	0.0197115384615385	104	1.47619047619048	0.375	0.221153846153846	0.163461538461538	0.240384615384615	0.0865384615384615	0.0288461538461538	0.0288461538461538	0.0480769230769231	0.0576923076923077	0.0769230769230769	0.0961538461538462	0.0288461538461538	0.0769230769230769	0.0288461538461538	0.153846153846154	0	0.0384615384615385	0.0480769230769231	0.0769230769230769	0.0480769230769231	14	26	49	20	20	20	6	29	1	3	0	0	1	1	0	0	1	0	0	1	0	0	0	0	11	9	0	-19.7	-0.189423076923077	-21.75	-0.209134615384615	-18.2	12.66	-18.2	83.28	18.71	-0.469047619047619	-0.00947115384615385	-0.175	0.179903846153846
