,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,GC,EFreq,BPP,Dadj,SEadj,DiffMFE.EFE,Ar,Ur,Gr,Cr,AAr,GGr,CCr,UUr,AGr,ACr,AUr,GAr,GCr,GUr,CAr,CGr,CUr,UAr,UGr,UCr,Length,AU.GCr,Hl,Steml5,Steml3,BP,BP5,BP3,Mism5,Mism3,Bulge5,Bulge3,BulgeN1.5,BulgeN1.3,BulgeN2.5,BulgeN2.3,BulgeN3.5,BulgeN3.3,BulgeN4.5,BulgeN4.3,BulgeN5.5,BulgeN5.3,AUp,GCp,GUp,MFE,MFEadj,EFE,EFEadj,CFE,CDE,MEAFE,MEA,ED,MFEadj.GC,MFEadj.BP,dG,dGadj,dH,dHadj,dS,dSadj,dT,dTadj
ENSSSCT00000046222.1,0,0.015625,0,0,0,0.03125,0,0.109375,0,0.015625,0.015625,0,0.03125,0.03125,0.125,0.15625,0,0,0.015625,0.109375,0,0.015625,0,0.15625,0,0.015625,0,0.03125,0.015625,0.015625,0.015625,0.078125,0.63855421686747,0.1479,0.313253012048193,0.103373493975904,0.0231233883417551,0.0142168674698795,0.204819277108434,0.156626506024096,0.385542168674699,0.253012048192771,0.0240963855421687,0.0963855421686747,0.072289156626506,0.0240963855421687,0.144578313253012,0.0240963855421687,0,0.108433734939759,0.0602409638554217,0.0602409638554217,0.0602409638554217,0.0120481927710843,0.072289156626506,0,0.0602409638554217,0.0602409638554217,0.447761194029851,0.140242185299916,0.521739130434783,0.357142857142857,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.25,0.625,0.5,0.285714285714286,0.333333333333333,0.5,0.2,0,0,0,0,0,0,0.205882352941176,0.433333333333333,0.0833333333333333,0.682568807339449,0.615650025558017,0.681270536692223,0.616102298478472,0.491891891891892,0.297153024911032,0.51285930408472,0.384543262791321,0.280925970581143,0.777502704001923,0.622851047774392,0.684210526315789,0.665111185181658,0.71064467766117,0.602623698487677,0.704430734716769,0.592673535451155,0.542141230068337,0.389681978666194
ENSSSCT00000038580.1,0.0731707317073171,0.0121951219512195,0.0121951219512195,0.024390243902439,0.0121951219512195,0.0121951219512195,0.0365853658536585,0.0731707317073171,0.0853658536585366,0.024390243902439,0,0.0365853658536585,0.024390243902439,0.0365853658536585,0.024390243902439,0.0975609756097561,0.024390243902439,0.0121951219512195,0,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0365853658536585,0.0731707317073171,0.0121951219512195,0.0121951219512195,0.0121951219512195,0.0609756097560975,0.0121951219512195,0.0121951219512195,0.0365853658536585,0.0731707317073171,0.521739130434783,0.0123,0.271739130434783,0.221304347826087,0.0210647811418351,0.0294565217391304,0.271739130434783,0.206521739130435,0.358695652173913,0.16304347826087,0.0543478260869565,0.108695652173913,0.0434782608695652,0.0434782608695652,0.108695652173913,0.0326086956521739,0.0326086956521739,0.119565217391304,0.0108695652173913,0.0760869565217391,0.0543478260869565,0.0217391304347826,0.0326086956521739,0.0108695652173913,0.0652173913043478,0.0652173913043478,0.582089552238806,0.264096185737977,0.217391304347826,0.571428571428571,0.564102564102564,0.303030303030303,0.303030303030303,0.303030303030303,0.80952380952381,0.75,0.625,0.75,0.285714285714286,0.5,0.25,0,0,0,0.5,0.333333333333333,0,0,0.352941176470588,0.166666666666667,0.25,0.948623853211009,0.9618970252691,0.918035779481563,0.940480081260762,0.8,0.716370106761566,0.800302571860817,0.206938119474953,0.724620207378828,0.951910828025478,0.883200221177315,0.819838056680162,0.876322142009801,0.556221889055472,0.510632456134139,0.487801458216489,0.412758632659437,0.111617312072893,0.134235806581005
ENSSSCT00000021115.2,0.0166666666666667,0.0166666666666667,0,0.0333333333333333,0.0166666666666667,0.0166666666666667,0.0333333333333333,0.116666666666667,0,0,0,0.0166666666666667,0,0,0.05,0.133333333333333,0.05,0.0166666666666667,0,0.05,0,0.0166666666666667,0.0166666666666667,0.116666666666667,0.0166666666666667,0.0166666666666667,0,0.0333333333333333,0.0333333333333333,0.0166666666666667,0.0333333333333333,0.133333333333333,0.45,0.2776,0.2875,0.013875,0.0248994307299063,0.00987499999999999,0.2875,0.2625,0.225,0.225,0.0625,0.0375,0.025,0.025,0.0875,0.075,0.025,0.075,0.05,0.05,0.05,0,0.15,0.0625,0.075,0.075,0.402985074626866,0.372028745163074,0.478260869565217,0.30952380952381,0.282051282051282,0.242424242424242,0.242424242424242,0.242424242424242,0.380952380952381,0.3,0.375,0.375,0.142857142857143,0.333333333333333,0,0,0.333333333333333,0,0.5,0.333333333333333,0,0,0.323529411764706,0.2,0.0833333333333333,0.84954128440367,0.781570806355427,0.854508944870391,0.79177676162728,0.614864864864865,0.0313167259786477,0.65052950075643,0.471068845432628,0.0327947914154811,0.714649681528662,0.691091939200997,0.801619433198381,0.776627005856864,0.752998500749625,0.622703637343223,0.729248457655637,0.581637157751374,0.357630979498861,0.338986861200373
ENSSSCT00000020733.2,0.0123456790123457,0.0123456790123457,0,0.0246913580246914,0.0246913580246914,0.0246913580246914,0.037037037037037,0.160493827160494,0,0.0246913580246914,0.0246913580246914,0.0123456790123457,0.0123456790123457,0.0246913580246914,0.0246913580246914,0.123456790123457,0,0,0.0246913580246914,0.0246913580246914,0,0.0246913580246914,0.0123456790123457,0.0987654320987654,0,0.0123456790123457,0,0.037037037037037,0.0123456790123457,0,0.0246913580246914,0.185185185185185,0.448275862068966,0.1517,0.379310344827586,0.0379310344827586,0.0227712814659597,0.0133333333333334,0.28735632183908,0.264367816091954,0.264367816091954,0.183908045977011,0.0344827586206897,0.0344827586206897,0.0229885057471264,0.0229885057471264,0.103448275862069,0.0919540229885057,0.0344827586206897,0.0574712643678161,0.0344827586206897,0.114942528735632,0.0804597701149425,0,0.0689655172413793,0.0919540229885057,0.103448275862069,0.0229885057471264,0.507462686567164,0.375047837734405,0.0434782608695652,0.547619047619048,0.564102564102564,0.545454545454545,0.545454545454545,0.545454545454545,0.380952380952381,0.35,0.5,0.625,0.428571428571429,0.5,0,0.2,0.333333333333333,0,0,0,0,0,0.529411764705882,0.266666666666667,0.166666666666667,0.559633027522936,0.519310746313672,0.559328221978824,0.520015355438715,0.406756756756757,0.109252669039146,0.417549167927383,0.512456469327619,0.116710875331565,0.451543361097501,0.693172130258646,0.54251012145749,0.5445438558755,0.52023988005997,0.372977711567717,0.506309590577678,0.350027287581964,0.535307517084283,0.346495962654104
ENSSSCT00000062813.1,0,0,0,0,0,0.0535714285714286,0.0178571428571429,0.0357142857142857,0,0,0.0178571428571429,0.0892857142857143,0,0.0357142857142857,0.0178571428571429,0.25,0,0,0.0178571428571429,0.0535714285714286,0,0.0178571428571429,0.0714285714285714,0.214285714285714,0,0,0,0,0,0.0357142857142857,0.0357142857142857,0.0357142857142857,0.759493670886076,0.1032,0.30379746835443,0.0429113924050633,0.0227188813753315,0.0177215189873418,0.126582278481013,0.113924050632911,0.367088607594937,0.392405063291139,0.0126582278481013,0.0886075949367089,0.126582278481013,0,0.0759493670886076,0.0253164556962025,0.0126582278481013,0.0506329113924051,0.177215189873418,0.0379746835443038,0.0506329113924051,0.139240506329114,0.0632911392405063,0.0126582278481013,0.0506329113924051,0.0506329113924051,0.388059701492537,0.0521558872305141,0.0434782608695652,0.238095238095238,0.256410256410256,0.272727272727273,0.272727272727273,0.272727272727273,0.19047619047619,0.2,0.375,0.5,0.428571428571429,0.666666666666667,0,0,0,0,0,0,0,0,0.0882352941176471,0.5,0.0833333333333333,0.627522935779816,0.511202391453917,0.622489959839357,0.50417427840452,0.451351351351351,0.112455516014235,0.467473524962179,0.403964639699973,0.114781769954184,0.802547770700637,0.482095692670506,0.62753036437247,0.56010593829468,0.578335832083958,0.311482713353335,0.557487380818845,0.270005415697915,0.462414578587699,0.397526679114514
ENSSSCT00000020324.2,0,0.0410958904109589,0,0,0.0410958904109589,0.0410958904109589,0,0.0136986301369863,0,0.0136986301369863,0.0410958904109589,0.0958904109589041,0,0.0410958904109589,0.0547945205479452,0.164383561643836,0,0.0136986301369863,0.0410958904109589,0.0410958904109589,0.0273972602739726,0.0410958904109589,0.0684931506849315,0.178082191780822,0,0,0,0,0,0,0.0136986301369863,0.0273972602739726,0.761363636363636,0.0325,0.306818181818182,0.190795454545455,0.0202974847294074,0.0239772727272727,0.136363636363636,0.102272727272727,0.409090909090909,0.352272727272727,0.0227272727272727,0.136363636363636,0.136363636363636,0.0227272727272727,0.0909090909090909,0.0113636363636364,0.0113636363636364,0.0568181818181818,0.113636363636364,0.0454545454545455,0.0454545454545455,0.0568181818181818,0.0227272727272727,0.0113636363636364,0.0568181818181818,0.0113636363636364,0.522388059701492,0.0510135887725551,0.260869565217391,0.404761904761905,0.512820512820513,0.363636363636364,0.363636363636364,0.363636363636364,0.380952380952381,0.55,0.75,1,0.285714285714286,0.5,0.5,0.6,0,0,0,0,0,0,0.0294117647058824,0.633333333333333,0.166666666666667,0.559633027522936,0.529232707678248,0.541986126323476,0.51157491882241,0.47027027027027,0.58932384341637,0.411497730711044,0.294535226359496,0.60308656860381,0.814373989922996,0.579768884210587,0.522267206477733,0.532451106224379,0.500374812593703,0.360804673769052,0.486960179472799,0.33912980364866,0.544419134396355,0.340769504414938
ENSSSCT00000020656.2,0,0,0,0.0441176470588235,0,0.0147058823529412,0.0147058823529412,0.205882352941177,0,0,0,0.0147058823529412,0,0,0.0147058823529412,0.176470588235294,0,0,0,0.0147058823529412,0,0.0441176470588235,0.0147058823529412,0.117647058823529,0,0,0,0.0147058823529412,0,0,0.0441176470588235,0.264705882352941,0.407407407407407,0.216,0.395061728395062,0.0491358024691358,0.0242914081444506,0.0116049382716049,0.283950617283951,0.308641975308642,0.234567901234568,0.172839506172839,0.0740740740740741,0.0246913580246914,0.0123456790123457,0.0864197530864197,0.037037037037037,0.0617283950617284,0.0864197530864197,0.0493827160493827,0.0493827160493827,0.0740740740740741,0.0740740740740741,0.037037037037037,0.037037037037037,0.0493827160493827,0.111111111111111,0.037037037037037,0.417910447761194,0.454093170511081,0.347826086956522,0.380952380952381,0.41025641025641,0.515151515151515,0.515151515151515,0.515151515151515,0.0952380952380952,0.1,0.25,0.25,0.285714285714286,0.333333333333333,0,0,0,0,0,0,0,0,0.529411764705882,0.166666666666667,0.333333333333333,0.636697247706422,0.543546180075685,0.640014603870026,0.547576705873889,0.458108108108108,0.133451957295374,0.475037821482602,0.429681221537637,0.134555100072341,0.390966994788651,0.691742856841561,0.564777327935223,0.507415284751285,0.621814092953523,0.423363158424741,0.623948401570387,0.423634266869133,0.642369020501139,0.456195362979855
ENSSSCT00000055613.1,0,0.0185185185185185,0,0.0185185185185185,0,0,0.0185185185185185,0.111111111111111,0,0,0,0.0555555555555556,0,0,0.037037037037037,0.166666666666667,0.0185185185185185,0,0,0.037037037037037,0,0.037037037037037,0.0555555555555556,0.12962962962963,0,0.037037037037037,0,0.037037037037037,0.0555555555555556,0.0185185185185185,0.037037037037037,0.111111111111111,0.533333333333333,0.2058,0.366666666666667,0.0645,0.0328154179893544,0.0161666666666667,0.166666666666667,0.3,0.266666666666667,0.266666666666667,0.05,0.0666666666666667,0.0666666666666667,0.0833333333333333,0.0666666666666667,0.0333333333333333,0,0.05,0.05,0.0666666666666667,0.05,0.0166666666666667,0.133333333333333,0,0.0833333333333333,0.116666666666667,0.104477611940299,0.249378109452736,0.0434782608695652,0.19047619047619,0.256410256410256,0.212121212121212,0.212121212121212,0.212121212121212,0.19047619047619,0.3,0.375,0.375,0.285714285714286,0.166666666666667,0.25,0.2,0,0.25,0,0,0,0,0.235294117647059,0.233333333333333,0.166666666666667,0.897247706422018,0.652251590276595,0.8986856516977,0.649803352397396,0.659459459459459,0.129537366548043,0.689863842662632,0.147200642914546,0.132867132867133,0.701114649681529,0.545322968210075,0.8582995951417,0.659222179896195,0.843703148425787,0.382473593865507,0.825995513180034,0.325214859343446,0.364464692482916,0.618674199232922
ENSSSCT00000020574.3,0,0.0161290322580645,0,0.0161290322580645,0.0161290322580645,0.0161290322580645,0,0.0483870967741936,0,0,0.032258064516129,0.0483870967741936,0.032258064516129,0,0.0806451612903226,0.129032258064516,0.0161290322580645,0.032258064516129,0.0483870967741936,0.0645161290322581,0.0161290322580645,0.0161290322580645,0.0483870967741936,0.112903225806452,0,0.032258064516129,0,0.0161290322580645,0.0161290322580645,0.0806451612903226,0.0161290322580645,0.0483870967741936,0.691176470588235,0.065,0.323529411764706,0.163088235294118,0.0273665487222731,0.0247058823529412,0.102941176470588,0.205882352941176,0.308823529411765,0.382352941176471,0.0147058823529412,0.0735294117647059,0.132352941176471,0.0294117647058824,0.0735294117647059,0,0,0.0441176470588235,0.0735294117647059,0.0735294117647059,0.0294117647058824,0.0441176470588235,0.102941176470588,0,0.0882352941176471,0.0882352941176471,0.223880597014925,0.098126389329946,0.130434782608696,0.285714285714286,0.358974358974359,0.212121212121212,0.212121212121212,0.212121212121212,0.380952380952381,0.5,0.75,0.75,0.428571428571429,0.333333333333333,0.5,0.4,0,0.25,0,0,0,0,0.117647058823529,0.4,0.0833333333333333,0.906422018348624,0.75194128170948,0.894852135815991,0.735983089901548,0.658108108108108,0.386476868327402,0.698940998487141,0.134476292526118,0.387267904509284,0.906681122103266,0.638547031949797,0.87246963562753,0.765774458919323,0.842578710644678,0.564380407536334,0.821508693213685,0.513830283909929,0.330296127562642,0.470300885981012
ENSSSCT00000037335.1,0,0.0140845070422535,0,0.0140845070422535,0.028169014084507,0.028169014084507,0.028169014084507,0.112676056338028,0.0140845070422535,0.0140845070422535,0,0.0422535211267606,0.0140845070422535,0,0.0563380281690141,0.169014084507042,0,0.0140845070422535,0,0.028169014084507,0,0.028169014084507,0.0140845070422535,0.154929577464789,0,0,0,0.0422535211267606,0,0,0.028169014084507,0.154929577464789,0.5125,0.3011,0.375,0.033,0.024966710089432,0.00925000000000003,0.2375,0.25,0.275,0.2375,0.0625,0.0625,0.0375,0.0625,0.0625,0.025,0.0625,0.05,0.1,0.0375,0.0625,0.05,0.05,0.0375,0.075,0.05,0.402985074626866,0.276301419730615,0.130434782608696,0.452380952380952,0.41025641025641,0.454545454545455,0.454545454545455,0.454545454545455,0.333333333333333,0.2,0.5,0.375,0.285714285714286,0.333333333333333,0.25,0.2,0.333333333333333,0,0,0,0,0,0.323529411764706,0.3,0.416666666666667,0.642201834862385,0.539365202760266,0.649142022635999,0.547431908924139,0.462162162162162,0.0857651245551602,0.479576399394856,0.441200107152424,0.0904268145647456,0.577784682305422,0.652491339628909,0.550607287449393,0.479520915670682,0.686656671664168,0.512260214757364,0.70527201346046,0.541161884187292,0.788154897494305,0.534045558204623
